Area Code,Date,Margin,Marketing,Product Type,Product Id,Product,Profit,Sales,State,Total Expenses
719,1/1/2017,390,72,Veg Burger,1,Crispy Veg,282,657,Colorado,108
970,1/1/2017,321,81,Veg Burger,2,Veggie Delight,204,570,Colorado,117
970,1/1/2017,417,78,Veg Burger,3,Veg Char Grilled,303,702,Colorado,114
303,1/1/2017,168,42,NonVeg Pizza,13,Pepperoni,90,300,Colorado,78
303,1/1/2017,240,45,NonVeg Burger,5,Chicken Fillet,162,402,Colorado,78
720,1/1/2017,324,69,NonVeg Burger,6,Chicken Char Grilled,159,540,Colorado,165
970,1/1/2017,513,141,Veg Pizza,8,Margherita,297,1023,Colorado,216
719,1/1/2017,261,171,Veg Pizza,9,Veggie Loaded,0,450,Colorado,261
970,1/1/2017,240,57,Veg Pizza,10,My Own Veg,99,420,Colorado,141
719,1/1/2017,216,66,NonVeg Pizza,11,Spicy Chicken,51,390,Colorado,165
303,1/1/2017,228,57,NonVeg Pizza,12,Chicken Loaded,108,420,Colorado,120
217,1/1/2017,603,141,Veg Burger,2,Veggie Delight,333,1035,Illinois,270
309,1/1/2017,417,90,Veg Burger,3,Veg Char Grilled,261,702,Illinois,156
309,1/1/2017,936,231,NonVeg Burger,5,Chicken Fillet,609,1638,Illinois,327
630,1/1/2017,684,189,NonVeg Burger,6,Chicken Char Grilled,420,1368,Illinois,264
312,1/1/2017,390,72,Veg Pizza,8,Margherita,285,657,Illinois,105
630,1/1/2017,321,81,Veg Pizza,9,Veggie Loaded,204,570,Illinois,117
773,1/1/2017,417,78,Veg Pizza,10,My Own Veg,303,702,Illinois,114
217,1/1/2017,240,45,NonVeg Pizza,11,Spicy Chicken,159,402,Illinois,81
708,1/1/2017,324,69,NonVeg Pizza,12,Chicken Loaded,162,540,Illinois,162
319,1/1/2017,81,15,Veg Burger,1,Crispy Veg,33,135,Iowa,48
641,1/1/2017,102,24,Veg Burger,2,Veggie Delight,15,186,Iowa,87
712,1/1/2017,93,21,Veg Burger,3,Veg Char Grilled,36,162,Iowa,57
563,1/1/2017,78,12,NonVeg Burger,5,Chicken Fillet,33,129,Iowa,45
563,1/1/2017,78,12,NonVeg Burger,6,Chicken Char Grilled,30,129,Iowa,48
641,1/1/2017,936,231,Veg Pizza,8,Margherita,606,1638,Iowa,330
563,1/1/2017,417,90,Veg Pizza,9,Veggie Loaded,258,702,Iowa,159
712,1/1/2017,684,189,NonVeg Pizza,11,Spicy Chicken,423,1368,Iowa,261
319,1/1/2017,903,279,NonVeg Pizza,12,Chicken Loaded,525,1638,Iowa,378
636,1/1/2017,315,96,Veg Burger,2,Veggie Delight,117,570,Missouri,198
573,1/1/2017,276,72,Veg Burger,3,Veg Char Grilled,141,510,Missouri,135
417,1/1/2017,126,36,NonVeg Pizza,13,Pepperoni,-12,228,Missouri,138
573,1/1/2017,219,42,NonVeg Burger,5,Chicken Fillet,144,369,Missouri,75
660,1/1/2017,204,36,NonVeg Burger,6,Chicken Char Grilled,135,342,Missouri,69
573,1/1/2017,159,102,Veg Pizza,8,Margherita,-33,270,Missouri,192
314,1/1/2017,33,81,Veg Pizza,9,Veggie Loaded,-117,297,Missouri,150
314,1/1/2017,141,33,NonVeg Pizza,11,Spicy Chicken,27,246,Missouri,114
573,1/1/2017,108,33,NonVeg Pizza,12,Chicken Loaded,-27,195,Missouri,135
740,1/1/2017,240,57,Veg Burger,1,Crispy Veg,102,420,Ohio,138
614,1/1/2017,249,54,Veg Burger,2,Veggie Delight,126,420,Ohio,123
614,1/1/2017,261,171,Veg Burger,3,Veg Char Grilled,90,450,Ohio,261
216,1/1/2017,348,78,NonVeg Pizza,12,Chicken Loaded,201,600,Ohio,147
614,1/1/2017,216,66,NonVeg Burger,6,Chicken Char Grilled,48,390,Ohio,168
614,1/1/2017,513,141,NonVeg Burger,5,Chicken Fillet,297,1023,Ohio,216
937,1/1/2017,144,24,Veg Pizza,8,Margherita,87,240,Ohio,57
740,1/1/2017,144,24,Veg Pizza,9,Veggie Loaded,87,240,Ohio,57
567,1/1/2017,378,81,NonVeg Pizza,11,Spicy Chicken,204,630,Ohio,174
262,1/1/2017,198,60,Veg Burger,1,Crispy Veg,39,360,Wisconsin,159
262,1/1/2017,333,216,Veg Burger,2,Veggie Delight,27,570,Wisconsin,306
414,1/1/2017,309,75,Veg Burger,3,Veg Char Grilled,153,540,Wisconsin,156
262,1/1/2017,315,204,NonVeg Pizza,12,Chicken Loaded,21,540,Wisconsin,294
262,1/1/2017,186,45,NonVeg Burger,6,Chicken Char Grilled,102,330,Wisconsin,84
414,1/1/2017,243,63,NonVeg Burger,5,Chicken Fillet,114,450,Wisconsin,129
715,1/1/2017,339,60,Veg Pizza,8,Margherita,210,540,Wisconsin,129
715,1/1/2017,144,27,Veg Pizza,9,Veggie Loaded,84,243,Wisconsin,60
608,1/1/2017,267,57,NonVeg Pizza,11,Spicy Chicken,141,450,Wisconsin,126
475,1/1/2017,219,42,NonVeg Pizza,11,Spicy Chicken,141,369,Connecticut,78
475,1/1/2017,168,30,NonVeg Pizza,13,Pepperoni,105,282,Connecticut,63
475,1/1/2017,225,54,NonVeg Burger,6,Chicken Char Grilled,90,390,Connecticut,135
860,1/1/2017,315,204,NonVeg Burger,5,Chicken Fillet,21,540,Connecticut,294
475,1/1/2017,558,120,Veg Burger,2,Veggie Delight,345,930,Connecticut,213
860,1/1/2017,315,96,Veg Pizza,9,Veggie Loaded,120,570,Connecticut,195
475,1/1/2017,276,72,Veg Pizza,10,My Own Veg,141,510,Connecticut,135
954,1/1/2017,144,24,NonVeg Pizza,11,Spicy Chicken,84,240,Florida,60
754,1/1/2017,144,27,NonVeg Pizza,13,Pepperoni,84,243,Florida,60
754,1/1/2017,309,75,NonVeg Burger,6,Chicken Char Grilled,150,540,Florida,159
239,1/1/2017,333,216,NonVeg Burger,5,Chicken Fillet,27,570,Florida,306
754,1/1/2017,348,78,Veg Burger,3,Veg Char Grilled,201,600,Florida,147
954,1/1/2017,378,81,Veg Burger,2,Veggie Delight,204,630,Florida,174
863,1/1/2017,186,45,Veg Pizza,8,Margherita,102,330,Florida,84
239,1/1/2017,198,60,Veg Pizza,9,Veggie Loaded,39,360,Florida,159
772,1/1/2017,243,63,Veg Pizza,10,My Own Veg,117,450,Florida,126
508,1/1/2017,144,24,NonVeg Pizza,11,Spicy Chicken,87,240,Massachusetts,57
781,1/1/2017,144,24,NonVeg Pizza,13,Pepperoni,87,240,Massachusetts,57
