Birth Rate,Business Tax Rate,CO2 Emissions,Birth Rate Classificaton,Above Health Exp Threshold?,GDP per Capita,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.02,,87931,1.5-3%,Below Threshold,1727.333251,Algeria,,,26998,54790058957,0.035,60,,0.034,0.005,0.1,71,67,0.003,1,0.342,0.619,0.039,31719449,0.599,Africa,102000000,193000000,1/12/2000
0.05,,9542,Above 3%,Below Threshold,655.6294947,Angola,,,7499,9129594819,0.034,22,,0.128,0.001,1.032,47,44,0.002,1,0.476,0.499,0.025,13924930,0.324,Africa,34000000,146000000,1/12/2000
0.043,,1617,Above 3%,Below Threshold,339.4730257,Benin,,,1983,2359122303,0.043,15,,0.09,0.002,,57,53,0.008,1,0.454,0.517,0.029,6949366,0.383,Africa,77000000,50000000,1/12/2000
0.027,,4276,1.5-3%,Below Threshold,3297.478684,Botswana,,,1836,5788311645,0.047,152,,0.054,0.029,0.155,52,49,0.127,1,0.383,0.587,0.029,1755375,0.532,Africa,227000000,209000000,1/12/2000
0.046,,1041,Above 3%,Below Threshold,224.9286471,Burkina Faso,,,,2610959139,0.051,12,,0.096,0.001,,52,49,0.002,1,0.468,0.505,0.028,11607944,0.178,Africa,23000000,30000000,1/12/2000
0.042,,301,Above 3%,Below Threshold,130.4238485,Burundi,,,,870486066,0.063,7,,0.092,0.001,0.158,49,47,0.002,1,0.49,0.481,0.029,6674286,0.082,Africa,1400000,14000000,1/12/2000
0.041,,3432,Above 3%,Below Threshold,583.0948592,Cameroon,,,6310,9287367569,0.044,26,,0.093,0.003,0.22,53,51,0.006,1,0.453,0.513,0.034,15927713,0.455,Africa,132000000,241000000,1/12/2000
0.039,,268,Above 3%,Below Threshold,251.3526401,Central African Republic,,,,914500332,0.043,11,,0.113,0.001,0.22,45,42,0.001,1,0.423,0.537,0.04,3638316,0.376,Africa,5000000,33000000,1/12/2000
0.051,,176,Above 3%,Below Threshold,166.8513453,Chad,,,,1385058212,0.063,10,,0.106,0,0.22,48,46,0.001,1,0.49,0.482,0.028,8301151,0.216,Africa,14000000,56000000,1/12/2000
0.039,,84,Above 3%,Below Threshold,382.1603219,Comoros,,,,201899884,0.035,13,,0.073,0.003,0.12,59,56,,1,0.415,0.554,0.031,528312,0.281,Africa,15000000,,1/12/2000
